Level and Distortion,
Left-Left(Total),
X,Y
Hz,dBSPL
3250,19.4363364319618
3263.88888888889,19.8383859022804
3277.77777777778,17.8908318061052
3291.66666666667,15.3660442220292
3305.55555555556,16.5160163661834
3319.44444444444,17.2846735411642
3333.33333333333,18.2424862042868
3347.22222222222,17.4802319366306
3361.11111111111,16.0021805156279
3375,16.7769054884696
3388.88888888889,18.1527066342393
3402.77777777778,18.0395193688018
3416.66666666667,15.4789575290875
3430.55555555556,16.7858490611693
3444.44444444444,17.878790238448
3458.33333333333,16.524287752229
3472.22222222222,16.6465271553538
3486.11111111111,17.3935118473771
3500,16.4098434171333
3513.88888888889,15.1766188822171
3527.77777777778,16.083352720865
3541.66666666667,17.0375882382233
3555.55555555556,17.8944642834477
3569.44444444444,18.6535791932376
3583.33333333333,19.3164205495818
3597.22222222222,17.3522991998994
3611.11111111111,13.737684088762
3625,15.0959394457966
3638.88888888889,15.5948647711836
3652.77777777778,15.801398542243
3666.66666666667,15.5113435434876
3680.55555555556,14.4663345770841
3694.44444444444,14.8237465867212
3708.33333333333,16.0471694362214
3722.22222222222,16.5932837484411
3736.11111111111,15.9214350828477
3750,17.3177549424472
3763.88888888889,18.2064004976773
3777.77777777778,16.713021170079
3791.66666666667,15.4523186363102
3805.55555555556,14.5729759508508
3819.44444444444,16.6557305461926
3833.33333333333,18.6322095921533
3847.22222222222,16.4777279026538
3861.11111111111,17.005169940414
3875,18.2560042571366
3888.88888888889,16.3495349475298
3902.77777777778,14.9443733847052
3916.66666666667,13.6196596586524
3930.55555555556,16.13727012714
3944.44444444444,17.7361398490852
3958.33333333333,16.2998775987137
3972.22222222222,17.1874663561929
3986.11111111111,17.6166272449189
4000,16.3228868695354
4013.88888888889,18.3878939877721
4027.77777777778,19.3517511872313
4041.66666666667,18.3182368598328
4055.55555555556,17.6032084884297
4069.44444444444,18.5685402173783
4083.33333333333,18.0840854203199
4097.22222222222,14.5858517723176
4111.11111111111,16.0771805141508
4125,19.1807180619319
4138.88888888889,18.8520516253442
4152.77777777778,16.2412296208749
4166.66666666667,16.0937137701197
4180.55555555556,16.0915145978258
4194.44444444444,14.6177482397365
4208.33333333333,14.2585569168876
4222.22222222222,14.5049060691878
4236.11111111111,16.1919661427936
4250,17.1094805292685
4263.88888888889,17.5011885344184
4277.77777777778,17.235726058743
4291.66666666667,16.1477334523665
4305.55555555556,14.5365990753468
4319.44444444444,12.4071282202532
4333.33333333333,12.4893214735631
4347.22222222222,16.4881907952946
4361.11111111111,17.3160327056439
4375,15.7943839920941
4388.88888888889,14.9821054012316
