Level and Distortion,,,
Left-Left(Total),,Right-Left(Total),
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
3763.88888888889,18.2064004976773,3763.88888888889,20.99975296473
3777.77777777778,16.713021170079,3777.77777777778,23.2629845016632
3791.66666666667,15.4523186363102,3791.66666666667,23.6465361571203
3805.55555555556,14.5729759508508,3805.55555555556,23.0017344057865
3819.44444444444,16.6557305461926,3819.44444444444,21.5442723578648
3833.33333333333,18.6322095921533,3833.33333333333,19.3695975353506
3847.22222222222,16.4777279026538,3847.22222222222,21.9696164039571
3861.11111111111,17.005169940414,3861.11111111111,24.1392877115917
3875,18.2560042571366,3875,24.0992567874657
3888.88888888889,16.3495349475298,3888.88888888889,21.8139431650668
3902.77777777778,14.9443733847052,3902.77777777778,16.8498704889338
3916.66666666667,13.6196596586524,3916.66666666667,19.883125398087
3930.55555555556,16.13727012714,3930.55555555556,20.2669617084933
3944.44444444444,17.7361398490852,3944.44444444444,20.8640183502387
3958.33333333333,16.2998775987137,3958.33333333333,20.9211115345582
3972.22222222222,17.1874663561929,3972.22222222222,21.6027768067233
3986.11111111111,17.6166272449189,3986.11111111111,23.9347818443411
4000,16.3228868695354,4000,21.5452213008823
4013.88888888889,18.3878939877721,4013.88888888889,19.7159557123739
4027.77777777778,19.3517511872313,4027.77777777778,20.296337520135
4041.66666666667,18.3182368598328,4041.66666666667,19.7287263022649
4055.55555555556,17.6032084884297,4055.55555555556,20.4920976305231
4069.44444444444,18.5685402173783,4069.44444444444,19.752786226139
4083.33333333333,18.0840854203199,4083.33333333333,21.4752429489929
4097.22222222222,14.5858517723176,4097.22222222222,23.1133757501297
4111.11111111111,16.0771805141508,4111.11111111111,22.5106264549712
4125,19.1807180619319,4125,20.9268734611535
4138.88888888889,18.8520516253442,4138.88888888889,20.9417783037984
4152.77777777778,16.2412296208749,4152.77777777778,19.3585572104797
4166.66666666667,16.0937137701197,4166.66666666667,17.6940367382407
4180.55555555556,16.0915145978258,4180.55555555556,20.3441925167223
4194.44444444444,14.6177482397365,4194.44444444444,20.593514332607
4208.33333333333,14.2585569168876,4208.33333333333,20.7363162787501
4222.22222222222,14.5049060691878,4222.22222222222,22.0904541630076
4236.11111111111,16.1919661427936,4236.11111111111,21.3474800828598
4250,17.1094805292685,4250,20.15396790496
4263.88888888889,17.5011885344184,4263.88888888889,21.036301884082
4277.77777777778,17.235726058743,4277.77777777778,21.6957653488286
4291.66666666667,16.1477334523665,4291.66666666667,19.0606299156602
4305.55555555556,14.5365990753468,4305.55555555556,18.8651281252311
4319.44444444444,12.4071282202532,4319.44444444444,22.7015457824917
4333.33333333333,12.4893214735631,4333.33333333333,22.0140883428253
4347.22222222222,16.4881907952946,4347.22222222222,20.6671623619651
