L-R-Diff Raw,
L-R-Diff Left,
X,Y
Hz,dB
2045.138889,0
2048.611111,0
2052.083333,0
2055.555556,0
2059.027778,0
2062.5,0
2065.972222,0
2069.444444,0
2072.916667,0
2076.388889,0
2079.861111,0
2083.333333,0
2086.805556,0
2090.277778,0
2093.75,0
2097.222222,0
2100.694444,0
2104.166667,0
2107.638889,0
2111.111111,0
2114.583333,0
2118.055556,0
2121.527778,0
2125,0
2128.472222,0
2131.944444,0
2135.416667,0
2138.888889,0
2142.361111,0
2145.833333,0
2149.305556,0
2152.777778,0
2156.25,0
2159.722222,0
2163.194444,0
2166.666667,0
2170.138889,0
2173.611111,0
2177.083333,0
2180.555556,0
2184.027778,0
2187.5,0
2190.972222,0
2194.444444,0
2197.916667,0
2201.388889,0
2204.861111,0
2208.333333,0
2211.805556,0
2215.277778,0
2218.75,0
2222.222222,0
2225.694444,0
2229.166667,0
2232.638889,0
2236.111111,0
2239.583333,0
2243.055556,0
2246.527778,0
2250,0
2253.472222,0
2256.944444,0
2260.416667,0
2263.888889,0
2267.361111,0
2270.833333,0
2274.305556,0
2277.777778,0
2281.25,0
2284.722222,0
2288.194444,0
2291.666667,0
2295.138889,0
2298.611111,0
2302.083333,0
2305.555556,0
2309.027778,0
2312.5,0
2315.972222,0
2319.444444,0
2322.916667,0
2326.388889,0
2329.861111,0
2333.333333,0
2336.805556,0
2340.277778,0
2343.75,0
2347.222222,0
2350.694444,0
2354.166667,0
2357.638889,0
2361.111111,0
2364.583333,0
2368.055556,0
2371.527778,0
2375,0
2378.472222,0
2381.944444,0
2385.416667,0
2388.888889,0
2392.361111,0
2395.833333,0
2399.305556,0
2402.777778,0
2406.25,0
2409.722222,0
2413.194444,0
2416.666667,0
2420.138889,0
2423.611111,0
2427.083333,0
2430.555556,0
2434.027778,0
2437.5,0
2440.972222,0
2444.444444,0
2447.916667,0
2451.388889,0
2454.861111,0
2458.333333,0
2461.805556,0
2465.277778,0
2468.75,0
2472.222222,0
2475.694444,0
2479.166667,0
2482.638889,0
2486.111111,0
2489.583333,0
2493.055556,0
2496.527778,0
2500,0
2503.472222,0
2506.944444,0
2510.416667,0
2513.888889,0
2517.361111,0
2520.833333,0
2524.305556,0
2527.777778,0
2531.25,0
2534.722222,0
2538.194444,0
2541.666667,0
2545.138889,0
2548.611111,0
2552.083333,0
2555.555556,0
2559.027778,0
2562.5,0
2565.972222,0
2569.444444,0
2572.916667,0
2576.388889,0
2579.861111,0
2583.333333,0
2586.805556,0
2590.277778,0
2593.75,0
2597.222222,0
2600.694444,0
2604.166667,0
2607.638889,0
2611.111111,0
2614.583333,0
2618.055556,0
2621.527778,0
2625,0
2628.472222,0
2631.944444,0
2635.416667,0
2638.888889,0
2642.361111,0
2645.833333,0
2649.305556,0
2652.777778,0
2656.25,0
2659.722222,0
2663.194444,0
2666.666667,0
2670.138889,0
2673.611111,0
2677.083333,0
2680.555556,0
2684.027778,0
2687.5,0
2690.972222,0
2694.444444,0
2697.916667,0
2701.388889,0
2704.861111,0
2708.333333,0
2711.805556,0
2715.277778,0
2718.75,0
2722.222222,0
2725.694444,0
2729.166667,0
2732.638889,0
2736.111111,0
2739.583333,0
2743.055556,0
2746.527778,0
2750,0
2753.472222,0
2756.944444,0
2760.416667,0
2763.888889,0
2767.361111,0
2770.833333,0
2774.305556,0
2777.777778,0
2781.25,0
2784.722222,0
2788.194444,0
2791.666667,0
2795.138889,0
2798.611111,0
2802.083333,0
2805.555556,0
2809.027778,0
2812.5,0
2815.972222,0
2819.444444,0
2822.916667,0
2826.388889,0
2829.861111,0
2833.333333,0
2836.805556,0
2840.277778,0
2843.75,0
2847.222222,0
2850.694444,0
2854.166667,0
2857.638889,0
2861.111111,0
2864.583333,0
2868.055556,0
2871.527778,0
2875,0
2878.472222,0
2881.944444,0
2885.416667,0
2888.888889,0
2892.361111,0
2895.833333,0
2899.305556,0
2902.777778,0
2906.25,0
2909.722222,0
2913.194444,0
2916.666667,0
2920.138889,0
2923.611111,0
2927.083333,0
2930.555556,0
2934.027778,0
2937.5,0
2940.972222,0
2944.444444,0
2947.916667,0
2951.388889,0
2954.861111,0
2958.333333,0
2961.805556,0
2965.277778,0
2968.75,0
2972.222222,0
2975.694444,0
2979.166667,0
2982.638889,0
2986.111111,0
2989.583333,0
2993.055556,0
2996.527778,0
3000,0
3003.472222,0
3006.944444,0
3010.416667,0
3013.888889,0
3017.361111,0
3020.833333,0
3024.305556,0
3027.777778,0
3031.25,0
3034.722222,0
3038.194444,0
3041.666667,0
3045.138889,0
3048.611111,0
3052.083333,0
3055.555556,0
3059.027778,0
3062.5,0
3065.972222,0
3069.444444,0
3072.916667,0
3076.388889,0
3079.861111,0
3083.333333,0
3086.805556,0
3090.277778,0
3093.75,0
3097.222222,0
3100.694444,0
3104.166667,0
3107.638889,0
3111.111111,0
3114.583333,0
3118.055556,0
3121.527778,0
3125,0
3128.472222,0
3131.944444,0
3135.416667,0
3138.888889,0
3142.361111,0
3145.833333,0
3149.305556,0
3152.777778,0
3156.25,0
3159.722222,0
3163.194444,0
3166.666667,0
3170.138889,0
3173.611111,0
3177.083333,0
3180.555556,0
3184.027778,0
3187.5,0
3190.972222,0
3194.444444,0
3197.916667,0
3201.388889,0
3204.861111,0
3208.333333,0
3211.805556,0
3215.277778,0
3218.75,0
3222.222222,0
3225.694444,0
