"RMS Level",
Ch1,
X,Y
Hz,dBSPL
927.083333333333,68.5505663717811
930.555555555556,68.5684146844912
934.027777777778,68.5813367236764
937.5,68.5012629580044
940.972222222222,68.5019621625342
944.444444444444,68.526602779826
947.916666666667,68.5291422526481
951.388888888889,68.442272331243
954.861111111111,68.535831267445
958.333333333333,68.474700488814
961.805555555556,68.4325066969354
965.277777777778,68.5684084374034
968.75,68.3915176211864
972.222222222222,68.4726213081646
975.694444444444,68.4333271986137
979.166666666667,68.4517081519704
982.638888888889,68.4074716209297
986.111111111111,68.4365290861922
989.583333333333,68.3638654933654
993.055555555556,68.4046557108726
996.527777777778,68.3928373398574
1000,68.3957759899918
1003.47222222222,68.419833170058
1006.94444444444,68.2758574427686
1010.41666666667,68.455591776931
1013.88888888889,68.3047652221115
1017.36111111111,68.3815712828131
1020.83333333333,68.3531704483457
1024.30555555556,68.380711043231
1027.77777777778,68.3445730704441
1031.25,68.3789099587613
1034.72222222222,68.3956931820695
1038.19444444444,68.4076182890323
1041.66666666667,68.3430631089399
1045.13888888889,68.3951922389032
1048.61111111111,68.2904300918744
1052.08333333333,68.3180113268035
1055.55555555556,68.4628307148347
1059.02777777778,68.316991282631
1062.5,68.30873621284
1065.97222222222,68.3609386322244
1069.44444444444,68.3718512881538
1072.91666666667,68.3058091556395
1076.38888888889,68.443838570829
1079.86111111111,68.3566529730835
1083.33333333333,68.3814899622595
1086.80555555556,68.276557079489
1090.27777777778,68.5036190415867
1093.75,68.2855064242823
1097.22222222222,68.5177982682099
1100.69444444444,68.2261695248601
1104.16666666667,68.5382011539478
1107.63888888889,68.3311555176068
1111.11111111111,68.431325997661
1114.58333333333,68.2729149180803
1118.05555555556,68.4953495269647
1121.52777777778,68.2825495464965
1125,68.4755665963422
1128.47222222222,68.408139691599
1131.94444444444,68.4151802637182
1135.41666666667,68.421855294042
1138.88888888889,68.5187996049338
1142.36111111111,68.4027642859417
1145.83333333333,68.4778109681359
1149.30555555556,68.4362169065265
1152.77777777778,68.5597072486169
1156.25,68.4677239552165
1159.72222222222,68.5494657305297
1163.19444444444,68.4755053953358
1166.66666666667,68.5204284470472
1170.13888888889,68.4816971025946
1173.61111111111,68.5520807447535
1177.08333333333,68.5250046976188
1180.55555555556,68.5717893316533
1184.02777777778,68.5011344172381
1187.5,68.5418986839559
1190.97222222222,68.5055180423049
1194.44444444444,68.5896303847808
1197.91666666667,68.5030071603586
1201.38888888889,68.5646322860876
1204.86111111111,68.5452416131582
1208.33333333333,68.5575110837094
1211.80555555556,68.5161605927185
1215.27777777778,68.5288594894465
1218.75,68.5598321842946
1222.22222222222,68.5626762468387
1225.69444444444,68.5285148019223
1229.16666666667,68.5207127746595
1232.63888888889,68.5165338886116
1236.11111111111,68.6028386742775
1239.58333333333,68.4537661805726
1243.05555555556,68.4878049577804
1246.52777777778,68.5149731242023
1250,68.5785864511673
1253.47222222222,68.5394000316059
1256.94444444444,68.4900752377181
1260.41666666667,68.4990342136707
1263.88888888889,68.5343159606201
1267.36111111111,68.5229171316562
1270.83333333333,68.4857214851964
1274.30555555556,68.59419088141
1277.77777777778,68.4687109295139
1281.25,68.5565914849498
1284.72222222222,68.4796632832227
1288.19444444444,68.5192878941134
1291.66666666667,68.480976447075
1295.13888888889,68.4411642760243
1298.61111111111,68.4746480416318
1302.08333333333,68.5191285567796
1305.55555555556,68.5075798685529
1309.02777777778,68.5365108336968
1312.5,68.5484832729168
1315.97222222222,68.5538539690686
1319.44444444444,68.5661749940322
1322.91666666667,68.5079071559267
1326.38888888889,68.5212620943007
1329.86111111111,68.5699686076269
1333.33333333333,68.5865505170319
1336.80555555556,68.5644960465539
1340.27777777778,68.632440409417
1343.75,68.5763438554629
1347.22222222222,68.6416961163769
1350.69444444444,68.6296425896722
1354.16666666667,68.6900816350026
1357.63888888889,68.7091513422811
1361.11111111111,68.6917936951507
1364.58333333333,68.7089756079639
1368.05555555556,68.7510507726758
1371.52777777778,68.8412221153266
1375,68.8088947420858
1378.47222222222,68.8763121359729
1381.94444444444,68.8781391351061
1385.41666666667,68.9380058817324
1388.88888888889,68.9421992171017
1392.36111111111,69.0157927510908
1395.83333333333,69.0303816169223
